"Category","Service","Primary Resource Available","Significant Enterprise Feature NOT Available","Impact"
"AI + Machine Learning","Azure OpenAI","No","N/A — entire service unavailable","Cannot deploy any Cognitive Services in this region"
"AI + Machine Learning","Azure Machine Learning","No","N/A — entire service unavailable","No ML workspaces, endpoints, or compute"
"Analytics","Azure Power BI Embedded","No","N/A — entire service unavailable","No embedded Power BI capacities"
"Analytics","Azure Synapse Analytics","No","N/A — entire service unavailable","No Synapse workspaces or Spark/SQL pools"
"Analytics","Azure Databricks","No","N/A — entire service unavailable","No Databricks workspaces"
"Analytics","Purview","No","N/A — entire service unavailable","No data governance/catalog"
"Compute","Azure Function (App Service)","Yes","Static Web Apps (staticSites) — NOT available","Cannot deploy Azure Static Web Apps; must use alternative region"
"Compute","Azure Function (App Service)","Yes","Container Apps (containerApps via Microsoft.Web) — NOT available","Use Microsoft.App provider or alternative region for Container Apps"
"Compute","Azure Function (App Service)","Yes","Kube Environments (kubeEnvironments / ASE v3) — NOT available","No App Service Environment v3 (isolated/dedicated tier)"
"Compute","Azure Function (App Service)","Yes","Functions (sites + functionAppStacks) — Available","Azure Functions fully available ✅"
"Compute","Azure Function (App Service)","Yes","Web Apps (sites + serverFarms) — Available","Web Apps and App Service Plans fully available ✅"
"Compute","Azure Function (App Service)","Yes","Deployment Slots (sites/slots) — Available","Slots for staging/production swap available ✅"
"Compute","Azure Function (App Service)","Yes","Certificates (certificates) — Available","SSL/TLS certificates available ✅"
"Compute","Azure Kubernetes Services","Yes","No significant gaps","All core AKS resource types available"
"Databases","Azure Cosmos DB","Yes","Mongo Clusters (mongoClusters) — NOT available","vCore-based MongoDB clusters not available; use RU-based MongoDB API instead"
"Databases","Azure Data Factory","Yes","No significant gaps","Factories and pipelines available"
"Databases","Azure Cache for Redis","Yes","No significant gaps","Both Redis and Redis Enterprise available ✅"
"Databases","Azure Database for PostgreSQL","Yes","Single Server (servers) — NOT available","Legacy Single Server not available (being retired anyway); Flexible Server available ✅"
"Databases","Azure Database for PostgreSQL","Yes","Server Groups v2 (serverGroupsv2 / Citus) — NOT available","Hyperscale (Citus) not available; use Flexible Server"
"Databases","Azure DocumentDB (MongoDB compat)","Yes","Same as Cosmos DB above","vCore MongoDB clusters not available"
"Integration","Azure Event Hub","Yes","No significant gaps","Namespaces, consumer groups, clusters all available"
"Integration","Azure API Management","Yes","No significant gaps","APIM service instances available"
"Integration","Azure Event Grid","Yes","Partner Registrations/Configurations — NOT available","Cannot register as Event Grid partner or configure partner topics"
"Integration","Azure Logic App","Yes","Integration Service Environments (ISE) — NOT available","ISE (isolated Logic Apps) not available; ISE is being retired — use Logic Apps Standard instead"
"Integration","Azure Service Bus","Yes","No significant gaps","Namespaces, queues, topics all available"
"Management & Governance","Azure Log Analytics","No","N/A — entire service unavailable","No log ingestion/query workspace — critical gap for monitoring"
"Management & Governance","Azure Application Insights","No","N/A — entire service unavailable","No APM telemetry — must use workspace-based App Insights in another region"
"Management & Governance","Azure Automation","No","N/A — entire service unavailable","No runbooks or DSC"
"Management & Governance","Azure Arc","No","N/A — entire service unavailable","Cannot project hybrid resources into this region"
"Networking","Azure Application Gateway","Yes","No significant gaps","App Gateway + WAF available"
"Networking","Azure VNet Gateway","Yes","No significant gaps","VPN and ExpressRoute gateways available"
"Networking","Azure Bastion","Yes","No significant gaps","Secure VM access available"
"Networking","Azure Load Balancer","Yes","No significant gaps","Standard and Basic LB available"
"Networking","Azure Private DNS Zones","No","N/A — entire service unavailable","Cannot create private DNS zones; use Global scope or another region"
"Networking","Azure Private Link","Yes","No significant gaps","Private endpoints available"
"Networking","Azure Route Server","Yes","No significant gaps","Virtual hubs available"
"Networking","(Cross-cutting)","N/A","Azure Front Door — NOT available","No Front Door / CDN / WAF at edge in this region"
"Networking","(Cross-cutting)","N/A","Traffic Manager — NOT available","No DNS-based traffic routing; use Front Door from another region"
"Networking","(Cross-cutting)","N/A","Azure DNS Zones (public) — NOT available","Public DNS zones not available; use Global or another region"
"Networking","(Cross-cutting)","N/A","Express Route Provider Ports — NOT available","Limited ExpressRoute provider connectivity"
"Security","Microsoft Defender","Yes (Global)","No significant gaps","Global service — works in all regions"
"Security","Azure Sentinel","No","N/A — depends on Log Analytics which is unavailable","Cannot deploy Sentinel without Log Analytics workspace"
"Security","Azure Dedicated HSM","No","N/A — entire service unavailable","No dedicated HSM; consider Azure Key Vault (Managed HSM) instead"
"Storage","Azure Storage","Yes","No significant gaps","Blob, File, Queue, Table all available"
